group,team1,team2,expected_goals_team1,expected_goals_team2,prob_team1_win_90,prob_draw_90,prob_team2_win_90,prob_team1_advance_knockout,prob_team2_advance_knockout
I,France,Iraq,3.093320197732672,0.5412291215292833,0.8692341671782081,0.0929450371762252,0.037820795645566556,0.952256538145196,0.04774346185480405
I,France,Norway,1.744564107436418,0.9604277670740654,0.5582263895811629,0.23556544606512642,0.206208164353711,0.7161756943444908,0.2838243056555092
I,France,Senegal,2.0591116242581973,0.8137858817193308,0.662956997969001,0.19917429399478911,0.13786870803620996,0.8127263463269145,0.18727365367308546
I,Iraq,Norway,0.7280269429420481,2.290703859038993,0.10216649694146203,0.17132908943616404,0.7265044136223743,0.13679479452263354,0.8632052054773665
I,Senegal,Iraq,1.9409501928135773,0.8592912892080499,0.6273632520115042,0.21318103629968446,0.15945571168881137,0.781971832320509,0.21802816767949096
I,Senegal,Norway,1.0946529373798093,1.5248388923130596,0.2725186653594529,0.2556172329349656,0.47186410170558146,0.3755313273830453,0.6244686726169547
J,Algeria,Austria,1.082071137327646,1.539979641527366,0.2667909791728745,0.25453633877018206,0.47867268205694347,0.36774260678136417,0.6322573932186358
J,Algeria,Jordan,1.7198836037887746,0.9731123279261473,0.5492670058595573,0.2381390839877337,0.21259391015270884,0.7067815526727095,0.2932184473272905
J,Argentina,Algeria,2.3874853258867024,0.6973578178558494,0.7496596013694766,0.1601051728941511,0.09023522573637249,0.8800302696414681,0.11996973035853187
J,Argentina,Austria,2.002357101516234,0.8323685487068596,0.6468905820375053,0.2058144623822843,0.14729495558021052,0.799228210171617,0.20077178982838295
J,Argentina,Jordan,3.182619911970735,0.5259732494393804,0.8797888570026003,0.08630871578600798,0.033902427211391535,0.957434620350317,0.04256537964968299
J,Austria,Jordan,2.0528586366637778,0.8161383692158374,0.6611319760999484,0.19992162179929687,0.13894640210075493,0.8109480210066149,0.1890519789933851
K,DR Congo,Colombia,0.7627890729509772,2.179748111453752,0.1171642229039144,0.1843375915542324,0.6984981855418533,0.15795491570416786,0.8420450842958321
K,DR Congo,Uzbekistan,1.30532445654204,1.269725583542626,0.3756975789997942,0.2653546665472621,0.3589477544529435,0.5103440427546777,0.4896559572453223
K,Portugal,Colombia,1.2698026495855186,1.3124203758730149,0.3575353367308833,0.2649018004894921,0.3775628627796245,0.48733260328421124,0.5126673967157888
K,Portugal,DR Congo,2.137345419637206,0.7730535934719753,0.6880963291615292,0.1891720957625142,0.12273157507595678,0.8340380432341976,0.1659619567658024
K,Portugal,Uzbekistan,2.1729525399118867,0.7644983009056059,0.6968308570822214,0.18511425318128683,0.11805488973649186,0.8406539697648836,0.1593460302351164
K,Uzbekistan,Colombia,0.7543473766175884,2.216061639655579,0.11261698061227778,0.1802397592456159,0.7071432601421065,0.15153446776322219,0.8484655322367778
L,Croatia,Ghana,2.239620194346561,0.7481303367652374,0.7128398857716733,0.1775497805938218,0.10961033363450465,0.8528085461888513,0.14719145381114873
L,Croatia,Panama,1.771372218754977,0.9498316739885013,0.5671110069765494,0.23274612731476452,0.20014286570868617,0.7248720531409345,0.2751279468590655
L,England,Croatia,1.8218268265885327,0.9183151191518528,0.586496534007725,0.22708718304528136,0.18641628294699364,0.7437581298328342,0.2562418701671658
L,England,Ghana,3.1460152991341768,0.5297224305019186,0.875967630252119,0.08879026505222315,0.035242104695658104,0.9556746524464479,0.04432534755355211
L,England,Panama,2.488263016529166,0.6725394201876643,0.7708369115894761,0.14915630590928552,0.08000678250123863,0.8943707554306021,0.10562924456939793
L,Ghana,Panama,1.0218013157717587,1.6402135122609793,0.23589469433734564,0.24597519503075826,0.5181301106318964,0.32522768724918316,0.6747723127508168
